timestamp,predicted_load
2024-02-01 00:00:00,451.21749456767816
2024-02-01 01:00:00,454.0715900874856
2024-02-01 02:00:00,457.68459992406457
2024-02-01 03:00:00,457.8853050418371
2024-02-01 04:00:00,460.60806144680157
2024-02-01 05:00:00,460.3166346092363
2024-02-01 06:00:00,460.6316705266282
2024-02-01 07:00:00,462.10986908693405
2024-02-01 08:00:00,460.14187368468816
2024-02-01 09:00:00,459.6587946820739
2024-02-01 10:00:00,461.93883302272366
2024-02-01 11:00:00,462.9320612967541
2024-02-01 12:00:00,460.4735843532045
2024-02-01 13:00:00,463.3029324816061
2024-02-01 14:00:00,466.2685175843462
2024-02-01 15:00:00,462.71230862361875
2024-02-01 16:00:00,458.12111576718553
2024-02-01 17:00:00,457.46190284857295
2024-02-01 18:00:00,454.95604051165714
2024-02-01 19:00:00,453.70271132318885
2024-02-01 20:00:00,453.7328901901906
2024-02-01 21:00:00,452.75204167449624
2024-02-01 22:00:00,454.58090938298153
2024-02-01 23:00:00,457.16322527048317
2024-02-02 00:00:00,452.82383664670397
2024-02-02 01:00:00,456.3640526983662
2024-02-02 02:00:00,454.30236615221963
2024-02-02 03:00:00,453.57279147016106
2024-02-02 04:00:00,452.3209471059189
2024-02-02 05:00:00,453.6522274446595
2024-02-02 06:00:00,454.09639336947987
2024-02-02 07:00:00,455.40680994654446
2024-02-02 08:00:00,456.5158215788019
2024-02-02 09:00:00,457.799083495271
2024-02-02 10:00:00,460.1615221956025
2024-02-02 11:00:00,458.6485100131909
2024-02-02 12:00:00,462.05459904455387
2024-02-02 13:00:00,460.5424637726422
2024-02-02 14:00:00,462.1812028718916
2024-02-02 15:00:00,461.1832476175735
2024-02-02 16:00:00,463.321192033232
2024-02-02 17:00:00,461.8798536279197
2024-02-02 18:00:00,462.49598642612597
2024-02-02 19:00:00,462.0437094969907
2024-02-02 20:00:00,460.41454555067935
2024-02-02 21:00:00,459.5802726260863
2024-02-02 22:00:00,459.0813680629623
2024-02-02 23:00:00,459.5227494881575
2024-02-03 00:00:00,457.85163980733904
2024-02-03 01:00:00,457.5147168793158
2024-02-03 02:00:00,455.3624374878339
2024-02-03 03:00:00,456.6472287526273
2024-02-03 04:00:00,457.6978714910304
2024-02-03 05:00:00,458.7869502227057
2024-02-03 06:00:00,459.7239952765008
2024-02-03 07:00:00,462.6035467546749
2024-02-03 08:00:00,461.5516194109697
2024-02-03 09:00:00,458.9418920827195
2024-02-03 10:00:00,459.6785282697513
2024-02-03 11:00:00,457.0707720392623
2024-02-03 12:00:00,456.57609583326126
2024-02-03 13:00:00,457.2409258570738
2024-02-03 14:00:00,460.96275339828065
2024-02-03 15:00:00,464.39965070045264
2024-02-03 16:00:00,462.88242687092
2024-02-03 17:00:00,464.3032278074596
2024-02-03 18:00:00,463.14608059077926
2024-02-03 19:00:00,464.9999860624177
2024-02-03 20:00:00,467.3063414224559
2024-02-03 21:00:00,463.14472289880064
2024-02-03 22:00:00,465.4471420983328
2024-02-03 23:00:00,467.5884085365559
2024-02-04 00:00:00,469.0492039556187
2024-02-04 01:00:00,465.13740808553445
2024-02-04 02:00:00,466.9104367279189
2024-02-04 03:00:00,467.9519796265703
2024-02-04 04:00:00,466.88191651780795
2024-02-04 05:00:00,465.3803850158825
2024-02-04 06:00:00,466.59121951168214
2024-02-04 07:00:00,470.85909692038496
2024-02-04 08:00:00,469.9985860785551
2024-02-04 09:00:00,471.7740512147581
2024-02-04 10:00:00,471.5039362870384
2024-02-04 11:00:00,469.68233366024236
2024-02-04 12:00:00,469.310851776021
2024-02-04 13:00:00,470.535088254491
2024-02-04 14:00:00,472.23680984159375
2024-02-04 15:00:00,474.5162511766911
2024-02-04 16:00:00,475.4404489049029
2024-02-04 17:00:00,477.53917508100636
2024-02-04 18:00:00,478.45484928382695
2024-02-04 19:00:00,479.77793784655637
2024-02-04 20:00:00,480.6833140406902
2024-02-04 21:00:00,480.6955003628166
2024-02-04 22:00:00,481.2477740296859
2024-02-04 23:00:00,479.4117954291389
2024-02-05 00:00:00,480.49762745127464
2024-02-05 01:00:00,482.8741393129047
2024-02-05 02:00:00,485.2221190243908
2024-02-05 03:00:00,482.26486696728466
2024-02-05 04:00:00,480.3841880880057
2024-02-05 05:00:00,478.42184532876996
2024-02-05 06:00:00,476.3558756386809
2024-02-05 07:00:00,477.6040196839682
2024-02-05 08:00:00,477.8228854974696
2024-02-05 09:00:00,479.9155437612982
2024-02-05 10:00:00,479.6816616683285
2024-02-05 11:00:00,479.8277618002297
2024-02-05 12:00:00,482.5876911593644
2024-02-05 13:00:00,486.4154196156755
2024-02-05 14:00:00,486.9085796926887
2024-02-05 15:00:00,487.0708876486409
2024-02-05 16:00:00,485.80870105681555
2024-02-05 17:00:00,483.9241255113375
2024-02-05 18:00:00,486.98795904455295
2024-02-05 19:00:00,490.47117382350933
2024-02-05 20:00:00,492.4921402551813
2024-02-05 21:00:00,493.2852000861008
2024-02-05 22:00:00,492.2956812251401
2024-02-05 23:00:00,495.8440913520151
2024-02-06 00:00:00,497.28796916380963
2024-02-06 01:00:00,495.0105805265173
2024-02-06 02:00:00,492.5498326666686
2024-02-06 03:00:00,495.64689737572354
2024-02-06 04:00:00,496.53213304711386
2024-02-06 05:00:00,494.8769883043698
2024-02-06 06:00:00,494.5648972203167
2024-02-06 07:00:00,493.84871161148646
2024-02-06 08:00:00,496.2281835329759
2024-02-06 09:00:00,495.4213202148922
2024-02-06 10:00:00,495.6122699389894
2024-02-06 11:00:00,492.12540935768334
2024-02-06 12:00:00,492.6226912826879
